"id"	"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
"ENSMUSG00000036840"	615.734083805282	726.587345361425	504.880822249138	0.694865972373901	-0.525193361135118	0.272350457191024	0.950004017224744
"ENSMUSG00000089857"	132.208704055703	165.560067758604	98.8573403528032	0.59710860046846	-0.743934746130284	0.272368632585514	0.950004017224744
"ENSMUSG00000003617"	9367.62319619985	7848.23079885021	10887.0155935495	1.38719360739805	0.472169155318593	0.272474896569844	0.950139452246105
"ENSMUSG00000062591"	362.378042574806	425.011319540962	299.744765608651	0.705263017305971	-0.503766705463322	0.272480510412358	0.950139452246105
"ENSMUSG00000049717"	698.597069089848	817.748000517072	579.446137662624	0.708587654505096	-0.496981764824067	0.272530904988481	0.950139452246105
"ENSMUSG00000029141"	343.181278837397	407.453331869029	278.909225805765	0.684518211021568	-0.546839171225929	0.27250330576956	0.950139452246105
"ENSMUSG00000015090"	9003.63856600428	7467.3156010872	10539.9615309214	1.41147931786716	0.497207989411704	0.273119976359077	0.950686018331628
"ENSMUSG00000026309"	261.756898637197	315.624367626834	207.88942964756	0.65866089874705	-0.602392187480948	0.27273099854359	0.950686018331628
"ENSMUSG00000025723"	25.3122791139764	36.5686479463094	14.0559102816435	0.384370521499198	-1.37943039904025	0.273105680092837	0.950686018331628
"ENSMUSG00000030826"	231.886666930053	187.565579563194	276.207754296912	1.4725929722295	0.558358721553313	0.273118225837968	0.950686018331628
"ENSMUSG00000028287"	6.14370360242138	1.16064796261166	11.1267592422311	9.58667882136626	3.26103109909992	0.273043453512511	0.950686018331628
"ENSMUSG00000032673"	1010.27192115725	831.603897864875	1188.93994444963	1.42969501165424	0.515707418260677	0.273022539054189	0.950686018331628
"ENSMUSG00000029603"	195.314775968062	234.978799079008	155.650752857115	0.662403389017151	-0.59421804085186	0.272788718565226	0.950686018331628
"ENSMUSG00000038092"	696.814451484646	36.2028565364774	1357.42604643281	37.494998359179	5.22862625519813	0.272923916659758	0.950686018331628
"ENSMUSG00000056008"	13.6182279840584	24.2141112524447	3.02234471567214	0.124817495226755	-3.00210792905358	0.272877944126199	0.950686018331628
"ENSMUSG00000074377"	70.0471256657112	19.8740370787141	120.220214252708	6.04910888394531	2.5967226294282	0.272820102315591	0.950686018331628
"ENSMUSG00000020526"	1035.40814244057	1193.95407841367	876.862206467461	0.734418703634307	-0.445325294173689	0.273074897326319	0.950686018331628
"ENSMUSG00000082050"	24.2167000304086	14.230293228056	34.2031068327612	2.40354195690975	1.26516198778923	0.273063738793346	0.950686018331628
"ENSMUSG00000021020"	2280.3244528711	2581.10100599311	1979.54789974908	0.766939339124169	-0.382815622251253	0.272937187896157	0.950686018331628
"ENSMUSG00000090572"	14.7549177560114	6.61457061392221	22.8952648981005	3.46133804209619	1.7913298452423	0.273040781577137	0.950686018331628
"ENSMUSG00000032013"	10.6702469402196	19.5550451539139	1.78544872652537	0.0913037383689199	-3.45318225819735	0.273437340355162	0.950788243518399
"ENSMUSG00000055943"	3663.71405686796	3161.3032671702	4166.12484656572	1.31785042258694	0.398186632229087	0.273440524596825	0.950788243518399
"ENSMUSG00000043290"	111.475139442319	139.660021171315	83.2902577133236	0.596378670250628	-0.745699434975478	0.273459808245006	0.950788243518399
"ENSMUSG00000037679"	42.372332470461	28.6036081704279	56.1410567704941	1.96272639577464	0.972859075009723	0.273473078275648	0.950788243518399
"ENSMUSG00000079258"	2.99904629660721	0	5.99809259321443	Inf	Inf	0.273352863572438	0.950788243518399
"ENSMUSG00000026199"	252.760542952605	204.161344942284	301.359740962927	1.4760861858944	0.561776960105888	0.273229766400484	0.950788243518399
"ENSMUSG00000084998"	102.712908514563	77.6698145249178	127.756002504208	1.64486040407914	0.717965150593662	0.273441270027694	0.950788243518399
"ENSMUSG00000087225"	52.0803367487111	28.09479504628	76.0658784511421	2.70747226757982	1.43694656050028	0.273234507814317	0.950788243518399
"ENSMUSG00000092325"	11.9694760214728	20.0005845449459	3.93836749799975	0.196912619686157	-2.34437252161021	0.273489043932667	0.950788243518399
"ENSMUSG00000097372"	87.4086265225786	64.6001692594735	110.217083785684	1.70614233753761	0.770738010720449	0.273432074771349	0.950788243518399
"ENSMUSG00000094224"	10.7690427601078	5.00838326027857	16.5297022599371	3.30040681811114	1.72264386637945	0.273294278448687	0.950788243518399
"ENSMUSG00000044390"	78.2045450453355	56.9046986641397	99.5043914265314	1.74861467967385	0.80621241563605	0.273554561298639	0.950908640991587
